Age of Prospect/Policyholder,37,,,,,,,,,,,,,,,,,,,
Age of the Life Assured,37,,,,,,,,,,,,,,,,,,,
Policy Term,20,,,,,,,,,,,,,,,,,,,
Premium Payment Term,10,,,,,,,,,,,,,,,,,,,
Annualised Premium,24000,,,,,,,,,,,,,,,,,,,
Frequency,1,,,,,,,,,,,,,,,,,,,
Installment Premium,24000,,,,,,,,,,,,,,,,,,,
Sum Assured,240000,,,,,,,,,,,,,,,,,,,
Policy Admin Charge Upto Year,10,,,,,,,,,,,,,,,,,,,
FMC,0.1118%,,,,,,,,,,,,,,,,,,,
Interest Rate,8.00%,0.64%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7.04%,,
,,,,,,,,,,,,,,,,,,0.57%,,
Year,Month,Age of the Life Assured,Age of Policyholder,Fund Value at the beginning of the month,Installment Premium Received,Allocation Charge,Amount Available for Investment,Policy Administration Charge,Fund Value before Mortality Charge,Investment Income,Fund Value after Investment Income,FMC,Fund at the end of the month before additions,Loyalty Addition,Booster,Return of Charge,Fund at the end of the month,IRR to PH,,
,,,,,,,,,,,,,,,,,,,,
1,1,37,37,0,24000,0,24000,100,23900,153.77,24054,26.89,24027,0,0,0,24027,"-24,000",,
1,2,37,37,24027,0,0,0,100,23927,153.95,24081,26.92,24054,0,0,0,24054,0,,
1,3,37,37,24054,0,0,0,100,23954,154.12,24108,26.96,24081,0,0,0,24081,0,,
1,4,37,37,24081,0,0,0,100,23981,154.29,24135,26.99,24108,0,0,0,24108,0,,
1,5,38,38,24108,0,0,0,100,24008,154.47,24163,27.02,24136,0,0,0,24136,0,,
1,6,38,38,24136,0,0,0,100,24036,154.65,24190,27.05,24163,0,0,0,24163,0,,
1,7,38,38,24163,0,0,0,100,24063,154.82,24218,27.08,24191,0,0,0,24191,0,,
1,8,38,38,24191,0,0,0,100,24091,155.00,24246,27.11,24219,0,0,0,24219,0,,
1,9,38,38,24219,0,0,0,100,24119,155.18,24274,27.14,24247,0,0,0,24247,0,,
1,10,38,38,24247,0,0,0,100,24147,155.36,24302,27.17,24275,0,0,0,24275,0,,
